;PER;TX10;CPI
janv-95;15,6;7,835;2,913
févr-95;15,3;7,654;2,972
mars-95;16;7,227;2,962
avr-95;16,5;7,135;3,151
mai-95;16;7,075;3,079
juin-95;16,4;6,186;3,005
juil-95;16,9;6,2;2,999
août-95;16,6;6,487;2,992
sept-95;16,6;6,215;2,984
oct-95;17,2;6,142;3,105
nov-95;17;5,96;3,034
déc-95;17,5;5,709;3,032
janv-96;17,6;5,575;2,956
févr-96;18,6;5,61;2,886
mars-96;18,7;5,988;2,814
avr-96;18,9;6,3;2,618
mai-96;19;6,671;2,676
juin-96;19,4;6,862;2,669
juil-96;19,6;6,726;2,664
août-96;18,5;6,64;2,596
sept-96;18,5;6,942;2,651
oct-96;19,6;6,635;2,52
nov-96;19,5;6,368;2,577
déc-96;20,9;6,062;2,636
janv-97;20,5;6,417;2,505
févr-97;20,4;6,446;2,5
mars-97;20,5;6,568;2,433
avr-97;19,5;6,887;2,612
mai-97;19,9;6,691;2,545
juin-97;21;6,651;2,418
juil-97;22,2;6,439;2,414
août-97;23,6;6,195;2,289
sept-97;22,3;6,331;2,222
oct-97;23,6;6,028;2,278
nov-97;22,8;5,892;2,153
déc-97;23,7;5,849;2,27
janv-98;23,7;5,738;2,265
févr-98;24;5,557;2,261
mars-98;25,1;5,714;2,257
avr-98;26,6;5,61;2,131
mai-98;25,7;5,66;2,187
juin-98;24,2;5,523;2,243
juil-98;25,6;5,428;2,239
août-98;24,5;5,447;2,473
sept-98;21,8;5,043;2,35
oct-98;21,7;4,299;2,227
nov-98;24,8;4,752;2,342
déc-98;26;4,661;2,453
janv-99;27,4;4,647;2,331
févr-99;28,8;4,746;2,152
mars-99;28,1;5,389;2,033
avr-99;29,5;5,281;2,203
mai-99;31,7;5,368;2,082
juin-99;30,2;5,764;1,963
juil-99;32,3;5,838;2,075
août-99;29,8;5,909;1,897
sept-99;30;5,98;2,067
oct-99;28,8;5,988;2,122
nov-99;28,8;6,048;2,059
déc-99;29,9;6,205;1,881
janv-00;31,3;6,565;2,107
févr-00;29,7;6,621;2,164
mars-00;29;6,385;2,447
avr-00;31,4;5,986;2,269
mai-00;29,2;6,266;2,38
juin-00;28,8;6,2;2,548
