;France ;Espagne ;Italie ;Irlande;Suede ;Netherland ;Danemark ;Etats-Unis;Coree ;Chilie;Suisse ;Pologne 
15/01/1996;74.1;63.92;67.5;68.1;255.6;67.94;68.4;77.143;56.18;54.73;91.08;71.4
15/02/1996;74.4;64.05;67.8;68.6;255.8;68.29;68.7;77.263;56.4;55.02;91.22;71.6
15/03/1996;74.9;64.31;68;68.9;257;69.11;69.1;77.492;56.78;55.42;91.38;71.8
15/04/1996;75;64.7;68.3;68.8;257.6;69.32;69.3;77.721;57.16;55.98;91.47;71.7
15/05/1996;75.2;64.96;68.6;68.9;257.3;69.04;69.5;77.854;57.49;56.43;91.14;71.6
15/06/1996;75.1;64.89;68.7;69.1;256.3;68.7;69.5;77.854;57.49;56.67;91.32;71.9
15/07/1996;74.9;64.96;68.6;68.9;255.7;68.49;69.4;78.02;57.77;56.83;91.19;71.9
15/08/1996;74.8;65.15;68.7;69.3;254.5;68.36;69.5;78.097;58.04;57.08;91.43;71.7
15/09/1996;75;65.35;68.8;69.7;256;69.11;69.9;78.31;58.15;57.35;91.48;71.7
15/10/1996;75.2;65.41;68.8;69.6;255.9;69.32;70;78.544;58.15;57.76;91.62;71.9
15/11/1996;75.2;65.41;69.1;69.7;255.3;69.18;70.1;78.689;58.15;57.99;91.46;72.1
15/12/1996;75.3;65.61;69.2;70;254.9;69.11;70;78.78;58.37;58.2;91.53;72.3
15/01/1997;75.5;65.77;69.3;69.3;254.6;69.11;70.2;78.881;58.81;58.5;91.83;72.2
15/02/1997;75.7;65.71;69.3;69.8;254.2;69.25;70.2;79.045;59.14;58.99;91.99;72.6
15/03/1997;75.7;65.77;69.5;69.8;255.2;69.94;70.2;79.126;59.36;59.17;91.86;72.7
15/04/1997;75.8;65.77;69.6;69.9;257;70.01;70.5;79.2;59.63;59.37;91.95;72.6
15/05/1997;75.9;65.84;69.8;69.9;257;70.15;71;79.169;59.68;59.5;91.66;72.6
15/06/1997;75.8;65.84;69.8;70.1;257.4;69.73;71.1;79.268;59.79;59.65;91.76;72.6
15/07/1997;75.7;65.97;69.8;70;257.3;69.8;71;79.312;59.9;60;91.66;72.6
15/08/1997;76;66.29;69.8;69.8;257.4;70.08;71.3;79.377;60.34;60.25;91.86;72.7
15/09/1997;76.1;66.62;69.8;70.1;259.8;70.83;71.5;79.557;60.62;60.81;91.86;72.6
15/10/1997;76;66.62;70.1;70.2;259.6;70.9;71.5;79.66;60.62;61.55;91.86;72.7
15/11/1997;76.2;66.68;70.3;70.4;259.2;70.9;71.6;79.67;60.67;61.64;91.84;72.9
15/12/1997;76.2;66.88;70.4;70.7;259.1;70.63;71.5;79.657;62.21;61.72;91.88;73
15/01/1998;75.9;67.01;70.6;70.2;256.9;70.21;71.4;79.688;63.69;62.15;91.85;73.1
15/02/1998;76.2;66.81;70.8;70.5;256.6;70.7;71.7;79.639;64.78;62.07;91.96;73.3
15/03/1998;76.4;66.88;70.9;70.9;257;71.45;71.9;79.645;64.67;62.32;91.89;73.4
15/04/1998;76.5;67.01;71.1;71.3;257.7;71.73;72;79.746;64.89;62.56;91.93;73.4
15/05/1998;76.6;67.14;71.2;71.5;258.1;71.59;72.4;79.858;64.56;62.68;91.74;73.3
15/06/1998;76.6;67.14;71.2;71.9;257.6;71.25;72.4;79.794;64.29;62.89;91.85;73.2
15/07/1998;76.3;67.46;71.2;71.7;257;71.04;72.2;79.986;64.29;63.16;91.73;73.2
15/08/1998;76.5;67.65;71.3;71.8;255.7;71.04;72.3;80.095;64.51;63.37;91.99;73.2
15/09/1998;76.5;67.65;71.3;72;256.8;71.73;72.6;80.044;64.78;63.7;91.91;73
15/10/1998;76.4;67.65;71.4;72;257.3;71.94;72.7;80.215;65;64.21;91.9;73.2
15/11/1998;76.4;67.59;71.5;72;256.7;71.94;72.8;80.217;64.78;64.27;91.75;73.2
15/12/1998;76.4;67.78;71.6;72.2;256.2;71.66;72.7;80.302;64.67;64.6;91.73;73.4
15/01/1999;76.2;67.98;71.6;71.6;256.2;71.66;72.6;80.448;64.62;64.39;91.92;73.3
15/02/1999;76.4;68.04;71.8;72.1;256.3;72.14;73.2;80.428;64.89;64.43;92.23;73.4
15/03/1999;76.7;68.3;71.9;72.3;257.3;72.9;73.5;80.484;65;64.84;92.32;73.5
15/04/1999;76.9;68.56;72;72.7;257.9;73.11;73.7;80.856;65.16;65.09;92.48;73.5
15/05/1999;76.9;68.56;72.3;73.2;258.3;73.11;73.9;80.889;65.06;65.16;92.27;73.6
15/06/1999;76.9;68.56;72.3;73.4;258.7;72.76;74.1;80.906;64.67;65.25;92.38;73.3
15/07/1999;76.7;68.89;72.4;73.1;257.6;72.35;73.9;81.12;64.45;65.3;92.4;73.4
15/08/1999;76.8;69.21;72.4;73.6;257.6;72.83;74.3;81.263;65.11;65.43;92.86;73.5
15/09/1999;77;69.34;72.7;73.9;259.4;73.17;74.7;81.547;65.28;65.58;93.03;73.4
15/10/1999;77;69.28;72.8;74;259.7;73.24;74.8;81.677;65.77;65.81;93.03;73.7
15/11/1999;77.1;69.41;72.9;74.1;259;73.38;74.9;81.749;65.66;65.92;92.94;73.9
15/12/1999;77.4;69.67;73.1;75;259.6;73.04;75;81.951;65.55;66.09;93.26;74.6
15/01/2000;77.4;69.93;73.2;74.8;257.5;72.83;74.9;82.186;65.84;66.21;93.37;74.3
15/02/2000;77.5;70.06;73.4;75.4;258.7;73.24;75.4;82.445;66.04;66.58;93.72;74.9
15/03/2000;77.9;70.38;73.8;75.9;259.9;74.07;75.9;82.797;66.37;67.06;93.69;74.9
15/04/2000;77.9;70.64;73.8;76.4;260;74.34;76;82.72;66.11;67.38;93.77;74.8
15/05/2000;78.1;70.77;74;76.9;261.3;74.55;76.3;82.784;65.77;67.53;93.73;74.7
15/06/2000;78.3;70.97;74.2;77.4;261.2;74.55;76.5;83.056;66.11;67.68;94.08;75
15/07/2000;78.2;71.42;74.4;77.4;260;74.34;76.2;83.256;66.37;67.77;94.15;74.8
15/08/2000;78.3;71.68;74.4;77.8;260.2;74.62;76.1;83.243;66.7;67.95;93.9;74.9
15/09/2000;78.7;71.94;74.5;78;262;75.31;76.7;83.604;67.57;68.36;94.37;75.2
15/10/2000;78.7;72.07;74.8;78.4;262.6;75.58;76.9;83.718;67.5;68.77;94.27;75.4
15/11/2000;78.8;72.26;75;78.5;262.7;75.51;76.9;83.83;67.1;69.01;94.72;75.7
15/12/2000;78.8;72.46;75.1;78.5;262.5;75.17;76.8;83.938;67.37;69.08;94.65;76
15/01/2001;78.5;71.94;75;77.7;261.7;76.21;76.7;84.311;68.1;69.32;94.58;76
15/02/2001;78.7;71.94;74.6;78.4;262.6;76.89;77.3;84.424;68.44;69.1;94.45;76.2
15/03/2001;79.1;72.52;75.3;79;264.6;77.77;77.7;84.427;69.04;69.43;94.61;76.4
15/04/2001;79.5;73.17;75.9;79.6;266.9;78.37;78;84.584;69.3;69.75;94.87;76.7
15/05/2001;80;73.43;76.1;80.1;268.7;78.63;78.4;84.814;69.23;70.05;95.38;76.9
15/06/2001;80;73.63;76.3;80.7;268.3;78.34;78.3;84.974;69.43;70.09;95.56;77
15/07/2001;79.9;73.11;76.1;80.5;266.9;78.29;78.1;84.949;69.57;69.96;95.42;76.9
