;CAC40;10y;ACCOR;AIR LIQUIDE;AIRBUS GROUP;ALSTOM;ARCELORMITTAL;AXA;BNP PARIBAS;BOUYGUES;CAP GEMINI;CARREFOUR;CREDIT AGRICOLE;DANONE;ENGIE;ESSILOR INTL.;KERING;KLEPIERRE;L'OREAL;LAFARGEHOLCIM;LEGRAND;LVMH;MICHELIN;NOKIA;ORANGE;PERNOD-RICARD;PEUGEOT;PUBLICIS GROUPE;RENAULT;SAFRAN;SAINT GOBAIN;SANOFI;SCHNEIDER ELECTRIC SE;SOCIETE GENERALE;SOLVAY;TECHNIP;TOTAL;UNIBAIL-RODAMCO;VALEO;VEOLIA ENVIRONNEMENT;VINCI;VIVENDI
30/12/2005;4715.23;3.3;31.778;52.0264;31.9;24.31;16.4858;26.1269;65.9135;41.3;33.91;34.5762;24.1584;41.6368;24.76;34.1;93.5388;25.7106;62.8;76.717;NA;67.6371;45.8772;15.45;20.99;56.79;31.0188;29.4;68.9;20.2;45.6521;74;37.2268;91.5663;87.4991;50.8;52.3562;98.6507;31.41;37.6008;35.6639;25.6064
02/01/2006;4754.92;3.335;32.079;52.4426;31.95;24.365;17.1414;26.4624;66.1546;41.19;34.12;34.8121;24.3944;42.0142;24.82;34.375;93.3914;25.6296;63.35;76.717;NA;68.4932;45.9931;15.51;21.21;56.9827;32.0061;29.4;71.4;20.5;45.743;75.3;37.4245;91.2138;88.016;51.75;52.7509;99.3529;31.73;37.827;35.713;25.7419
03/01/2006;4776.98;3.326;32.4141;53.5951;32.22;24.55;16.5742;26.4815;66.4922;40.86;34.38;35.179;24.5215;41.7783;25.6;34.15;93.1456;25.662;62.6;77.875;NA;68.6735;46.254;15.54;21.26;57.9459;32.4838;29.83;71.75;20.55;46.1518;75.3;37.2268;91.4781;89.2848;52.45;53.1703;101.0205;31.74;38.3973;36.0321;25.5387
04/01/2006;4838.52;3.274;32.934;53.6912;32.03;26.6;16.5889;27.1429;68.0833;41.12;35.35;35.808;24.8483;41.6604;25.91;33.5;93.0473;25.889;63.05;78.303;NA;69.6198;46.5052;15.8;21.7;57.8688;32.3564;29.88;70.9;20.67;46.3789;77.25;38.4867;93.417;89.8957;53.65;52.9977;101.8104;31.69;38.7415;35.983;25.7806
05/01/2006;4835.09;3.27;32.6262;53.371;31.76;26.3;16.3753;27.0662;67.8905;41.53;37.56;35.7119;25.2387;41.2594;25.65;33.9;93.0473;26.5861;62.8;77.917;NA;69.4846;47.056;16.05;21.78;57.0212;31.9424;30.2;70.2;20.71;46.5152;78.05;38.3878;93.3289;89.7077;53.2;52.8743;102.7758;31.4;38.3383;35.0258;25.6161
06/01/2006;4867.15;3.258;33.5222;53.4671;31.7;27;16.5005;27.2579;68.0351;42.68;38.27;36.0089;25.1661;41.6368;25.74;33.9;92.4083;26.2618;63.2;78.946;NA;69.4846;47.6744;16.05;21.87;57.0983;31.5475;30.47;71.65;20.76;47.0149;78.4;38.6349;94.2102;89.3788;53.8;53.5405;102.688;31.46;38.122;35.2221;25.6355
09/01/2006;4875.09;3.257;34.042;52.8908;31.37;27.05;17.3476;26.7978;68.5655;43.08;37.96;36.0089;25.2932;41.3537;25.61;34.025;96.9304;26.0511;63.3;78.86;NA;69.5296;47.742;16.18;21.8;57.4065;32.1653;30.98;73.2;20.77;46.7878;78.8;38.4867;93.8577;87.4991;53.9;53.9846;101.9859;32.2;37.6697;34.9276;25.7806
10/01/2006;4861.93;3.283;34.3361;52.6987;30.94;27.4;17.2887;26.2899;68.4209;43.11;37.46;35.8866;25.2478;41.2594;25.67;34.2;96.5372;26.0673;64.05;78.389;NA;69.1241;48.5053;15.91;21.62;56.6359;32.4519;30.98;73.65;20.71;46.7878;78.4;38.6596;93.417;87.3111;54.3;53.9846;101.3715;32.05;37.945;36.0812;25.5484
11/01/2006;4890.49;3.298;34.2335;52.9228;31.63;28.675;17.4729;26.0694;69.337;43.65;37.16;35.8167;25.4203;41.5424;25.65;34.575;96.5372;26.0511;65.15;79.117;NA;69.6648;48.9884;15.71;21.67;56.7515;31.5921;30.98;73.3;21.05;47.242;78.6;39.4007;95.0915;88.016;54.55;54.0833;103.0391;32.27;38.3088;37.873;25.7806
12/01/2006;4890.24;3.263;33.8368;53.6592;31.89;28.25;17.436;26.3378;70.446;43.86;37.88;34.9868;25.7017;41.448;25.71;34.975;96.6846;26.2132;64.6;80.06;NA;70.2506;49.4716;15.63;19.94;57.2909;31.0379;31.16;73.25;21.7;47.3329;78.2;39.4995;95.3558;87.5931;56.45;55.0455;104.1801;33.19;38.2596;37.3084;25.6935
13/01/2006;4850.53;3.263;33.2349;53.0509;31.63;28.15;17.1193;25.9736;69.2888;43.85;37.22;34.6374;25.6926;41.0942;25.63;35.5;95.6032;26.0997;64.8;80.189;NA;69.4395;48.5536;15.55;19.51;57.5991;31.4265;31;75;21.63;46.9695;77.7;39.0301;94.3864;88.345;55.7;54.7494;104.2679;32.97;38.0237;36.8912;25.1226
16/01/2006;4856.09;3.273;33.5359;52.9548;31.45;28.5;17.3992;26.1174;68.9513;43.84;37.15;34.4626;25.6109;41.2122;25.98;35.575;95.1609;26.2618;66.15;80.489;NA;69.8;48.3604;15.52;19.54;58.0229;31.0507;31.08;73.8;21.52;46.8332;77.6;39.0548;93.9458;88.345;56.5;55.1442;102.5125;32.85;38.1023;36.9403;25.0645
17/01/2006;4807.14;3.258;34.6097;51.9943;31.45;28.2;17.4876;25.619;68.6137;43.17;36.4;34.3229;25.1388;41.0706;25.66;35.45;93.5388;25.9376;66.35;79.889;NA;68.4031;47.6357;15.41;19.05;57.4065;30.8659;30.81;73.4;21.42;46.5152;76.2;38.7831;92.7119;87.2641;56.75;55.0455;103.9167;32.75;37.8466;36.3266;24.9097
